,franchise_id,season,weighted_efficiency
905,PHI,2014,19.86336957
906,PHI,2015,21.15549479
907,PHI,2016,21.38729167
908,PHI,2017,23.4881746
909,PHI,2018,20.77307765
910,PHI,2019,24.13165865
911,PHI,2020,23.47794118
912,PHO,1977,24.05990385
913,PHO,1978,23.28430556
914,PHO,1979,25.83349359
915,PHO,1980,24.98939236
916,PHO,1981,25.39306818
917,PHO,1982,26.50926136
918,PHO,1983,22.23193452
919,PHO,1984,23.48991071
920,PHO,1985,23.72704167
921,PHO,1986,22.51139706
922,PHO,1987,24.3284375
923,PHO,1988,24.50858553
924,PHO,1989,23.44325893
925,PHO,1990,26.04175595
926,PHO,1991,24.23238889
927,PHO,1992,25.1299359
928,PHO,1993,25.27511905
929,PHO,1994,22.736625
930,PHO,1995,25.33120536
931,PHO,1996,25.38886905
932,PHO,1997,22.37226326
933,PHO,1998,25.68525641
934,PHO,1999,21.63054688
935,PHO,2000,23.67848958
